gene_id	locus_tag	start	end	strand	product	go	genome_id	accession	gene_name
exon-USA300HOU_RS00090-1	USA300HOU_RS00090	24178	24252	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS00090
rna-USA300HOU_RS00095	USA300HOU_RS00095	24260	24332	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS00095
exon-USA300HOU_RS00095-1	USA300HOU_RS00095	24260	24332	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS00095
cds-WP_000101976.1	USA300HOU_RS00100	24952	25653	+	response regulator YycF	None	TCH1516	NC_010079.1	yycF
cds-WP_000871607.1	USA300HOU_RS00105	25666	27492	+	cell wall metabolism sensor histidine kinase WalK	signal transduction|0007165||IEA,phosphorylation|0016310||IEA	TCH1516	NC_010079.1	walK
cds-WP_001060131.1	USA300HOU_RS00110	27485	28819	+	two-component system activity regulator YycH	None	TCH1516	NC_010079.1	yycH
cds-WP_001104172.1	USA300HOU_RS00115	28820	29608	+	two-component system regulatory protein YycI	None	TCH1516	NC_010079.1	yycI
cds-WP_000088648.1	USA300HOU_RS00120	29998	30798	+	MBL fold metallo-hydrolase	None	TCH1516	NC_010079.1	USA300HOU_RS00120
cds-WP_000645780.1	USA300HOU_RS00125	31026	33344	+	LPXTG-anchored adenosine synthase AdsA	None	TCH1516	NC_010079.1	adsA
cds-WP_000704775.1	USA300HOU_RS00130	33712	34191	+	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	rRNA processing|0006364||IEA	TCH1516	NC_010079.1	rlmH
cds-WP_000566670.1	USA300HOU_RS00135	34513	35769	+	DUF3578 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS00135
cds-WP_001106057.1	USA300HOU_RS00140	35877	36551	-	IS6-like element IS257 family transposase	None	TCH1516	NC_010079.1	USA300HOU_RS00140
cds-WP_001797647.1	USA300HOU_RS14915	36635	36976	+	hydroxymethylglutaryl-CoA synthase	acetyl-CoA metabolic process|0006084||IEA,farnesyl diphosphate biosynthetic process%2C mevalonate pathway|0010142||IEA	TCH1516	NC_010079.1	USA300HOU_RS14915
cds-WP_000958858.1	USA300HOU_RS00150	37813	38556	+	glycerophosphoryl diester phosphodiesterase	None	TCH1516	NC_010079.1	USA300HOU_RS00150
cds-WP_000872606.1	USA300HOU_RS00155	38653	39081	+	MaoC family dehydratase	None	TCH1516	NC_010079.1	USA300HOU_RS00155
cds-WP_001801873.1	USA300HOU_RS00160	39127	41136	-	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	response to antibiotic|0046677||IEA	TCH1516	NC_010079.1	mecA
cds-WP_001549960.1	USA300HOU_RS00165	41233	42219	+	beta-lactam sensor/signal transducer MecR1	None	TCH1516	NC_010079.1	USA300HOU_RS00165
cds-WP_001549961.1	USA300HOU_RS00170	42191	42451	+	DUF3387 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS00170
gene-USA300HOU_RS00175	USA300HOU_RS00175	42442	44049	-	None	None	TCH1516	NC_010079.1	USA300HOU_RS00175
cds-USA300HOU_RS00175	USA300HOU_RS00175	42442	44049	-	IS1182 family transposase	None	TCH1516	NC_010079.1	USA300HOU_RS00175
cds-WP_001092189.1	USA300HOU_RS00180	44101	44607	-	DUF1643 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS00180
cds-WP_000700851.1	USA300HOU_RS00185	44622	44933	-	DUF960 family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00185
cds-WP_000849672.1	USA300HOU_RS00190	45020	45370	-	SAUGI family uracil-DNA glycosylase inhibitor	None	TCH1516	NC_010079.1	USA300HOU_RS00190
cds-WP_001186608.1	USA300HOU_RS00195	45892	47520	-	recombinase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00195
cds-WP_000815640.1	USA300HOU_RS00200	47542	48891	-	recombinase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00200
cds-WP_000122620.1	USA300HOU_RS00205	49125	50912	-	DUF927 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS00205
cds-WP_001036438.1	USA300HOU_RS00210	50912	51202	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00210
cds-WP_000613248.1	USA300HOU_RS00215	51341	52390	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00215
cds-WP_000554504.1	USA300HOU_RS00220	53063	54553	+	putative DNA binding domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS00220
gene-USA300HOU_RS00230	USA300HOU_RS00230	54926	56244	-	None	None	TCH1516	NC_010079.1	cstB
cds-USA300HOU_RS00230	USA300HOU_RS00230	54926	56244	-	persulfide dioxygenase-sulfurtransferase CstB	None	TCH1516	NC_010079.1	cstB
cds-WP_001791883.1	USA300HOU_RS15885	56300	56437	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS15885
cds-WP_001549968.1	USA300HOU_RS00235	56434	56805	+	HNH endonuclease	None	TCH1516	NC_010079.1	USA300HOU_RS00235
cds-WP_000673114.1	USA300HOU_RS00240	56934	57554	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00240
gene-USA300HOU_RS14925	USA300HOU_RS14925	58074	58262	-	None	None	TCH1516	NC_010079.1	USA300HOU_RS14925
cds-USA300HOU_RS14925	USA300HOU_RS14925	58074	58262	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS14925
cds-WP_001141152.1	USA300HOU_RS15890	58471	58641	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS15890
cds-WP_000027972.1	USA300HOU_RS00245	59043	60008	+	HNH endonuclease	None	TCH1516	NC_010079.1	USA300HOU_RS00245
cds-WP_000291518.1	USA300HOU_RS00250	60105	60296	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00250
cds-WP_000124775.1	USA300HOU_RS00255	60388	60717	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00255
cds-WP_000432278.1	USA300HOU_RS00260	60794	61153	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00260
gene-USA300HOU_RS00265	USA300HOU_RS00265	61683	62533	-	None	None	TCH1516	NC_010079.1	USA300HOU_RS00265
cds-USA300HOU_RS00265	USA300HOU_RS00265	61683	62533	-	IS3 family transposase	None	TCH1516	NC_010079.1	USA300HOU_RS00265
cds-WP_000776433.1	USA300HOU_RS00270	63046	63543	-	GNAT family N-acetyltransferase	None	TCH1516	NC_010079.1	USA300HOU_RS00270
cds-WP_001791888.1	USA300HOU_RS16050	63731	63859	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS16050
cds-WP_000857159.1	USA300HOU_RS00275	64041	65168	+	zinc-dependent alcohol dehydrogenase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00275
cds-WP_001015130.1	USA300HOU_RS00280	65423	65647	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00280
cds-WP_001092187.1	USA300HOU_RS00285	65661	66164	-	DUF1643 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS00285
cds-WP_000700852.1	USA300HOU_RS00290	66180	66491	-	DUF960 family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00290
cds-WP_000859159.1	USA300HOU_RS00295	66578	66928	-	SAUGI family uracil-DNA glycosylase inhibitor	None	TCH1516	NC_010079.1	USA300HOU_RS00295
gene-USA300HOU_RS14935	USA300HOU_RS14935	67535	67749	-	None	None	TCH1516	NC_010079.1	USA300HOU_RS14935
cds-USA300HOU_RS14935	USA300HOU_RS14935	67535	67749	-	D-alanyl-D-alanine carboxypeptidase family protein	proteolysis|0006508||IEA	TCH1516	NC_010079.1	USA300HOU_RS14935
gene-USA300HOU_RS00300	USA300HOU_RS00300	67736	68736	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS00300
cds-USA300HOU_RS00300	USA300HOU_RS00300	67736	68736	+	IS3 family transposase	None	TCH1516	NC_010079.1	USA300HOU_RS00300
cds-WP_000036757.1	USA300HOU_RS00305	68836	69765	-	carbamate kinase	amino acid metabolic process|0006520||IEA	TCH1516	NC_010079.1	arcC
cds-WP_000793596.1	USA300HOU_RS00310	69785	70783	-	ornithine carbamoyltransferase	arginine biosynthetic process via ornithine|0042450||IEA	TCH1516	NC_010079.1	argF
cds-WP_000272781.1	USA300HOU_RS00315	70821	71510	-	Crp/Fnr family transcriptional regulator	None	TCH1516	NC_010079.1	USA300HOU_RS00315
cds-WP_000344142.1	USA300HOU_RS00320	71552	72973	-	arginine-ornithine antiporter	arginine catabolic process|0006527||IEA	TCH1516	NC_010079.1	arcD
cds-WP_000249804.1	USA300HOU_RS00325	73059	74294	-	arginine deiminase	arginine deiminase pathway|0019546||IEA	TCH1516	NC_010079.1	arcA
cds-WP_000711814.1	USA300HOU_RS00330	74563	75009	-	ArgR family transcriptional regulator	None	TCH1516	NC_010079.1	USA300HOU_RS00330
cds-WP_000475805.1	USA300HOU_RS00335	75511	75942	+	universal stress protein	None	TCH1516	NC_010079.1	USA300HOU_RS00335
cds-WP_223200821.1	USA300HOU_RS14945	76215	76422	+	IS6 family transposase	None	TCH1516	NC_010079.1	USA300HOU_RS14945
cds-WP_223200821.1	USA300HOU_RS14945	76422	76888	+	IS6 family transposase	None	TCH1516	NC_010079.1	USA300HOU_RS14945
cds-WP_000558975.1	USA300HOU_RS00350	77076	77891	+	alpha/beta hydrolase	None	TCH1516	NC_010079.1	USA300HOU_RS00350
cds-WP_105165739.1	USA300HOU_RS00355	78213	79391	+	IS110-like element ISSep2 family transposase	None	TCH1516	NC_010079.1	USA300HOU_RS00355
cds-WP_000169584.1	USA300HOU_RS00360	79651	80343	+	class I SAM-dependent methyltransferase	None	TCH1516	NC_010079.1	USA300HOU_RS00360
cds-WP_001224176.1	USA300HOU_RS00365	80340	81893	+	ABC transporter substrate-binding protein	None	TCH1516	NC_010079.1	USA300HOU_RS00365
cds-WP_000920052.1	USA300HOU_RS00370	81896	82852	+	ABC transporter permease	None	TCH1516	NC_010079.1	USA300HOU_RS00370
cds-WP_000760756.1	USA300HOU_RS00375	82852	83619	+	ABC transporter permease	None	TCH1516	NC_010079.1	USA300HOU_RS00375
cds-WP_000073898.1	USA300HOU_RS00380	83586	84353	+	ATP-binding cassette domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS00380
cds-WP_000912324.1	USA300HOU_RS00385	84346	84981	+	ATP-binding cassette domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS00385
gene-USA300HOU_RS16055	USA300HOU_RS16055	85687	85797	-	None	None	TCH1516	NC_010079.1	USA300HOU_RS16055
cds-USA300HOU_RS16055	USA300HOU_RS16055	85687	85797	-	IS3 family transposase	None	TCH1516	NC_010079.1	USA300HOU_RS16055
cds-WP_001063476.1	USA300HOU_RS00390	86001	88064	+	heavy metal translocating P-type ATPase	None	TCH1516	NC_010079.1	USA300HOU_RS00390
cds-WP_000592150.1	USA300HOU_RS00395	88082	88627	+	YdhK family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00395
cds-WP_001790628.1	USA300HOU_RS00400	89055	89189	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00400
cds-WP_001790000.1	USA300HOU_RS00405	89153	89245	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00405
gene-USA300HOU_RS00410	USA300HOU_RS00410	89392	91139	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS00410
cds-USA300HOU_RS00410	USA300HOU_RS00410	89392	91139	+	TIGR04141 family sporadically distributed protein	None	TCH1516	NC_010079.1	USA300HOU_RS00410
gene-USA300HOU_RS00415	USA300HOU_RS00415	91233	91685	-	None	None	TCH1516	NC_010079.1	USA300HOU_RS00415
cds-USA300HOU_RS00415	USA300HOU_RS00415	91233	91685	-	tRNA-dihydrouridine synthase	tRNA processing|0008033||IEA	TCH1516	NC_010079.1	USA300HOU_RS00415
cds-WP_001791873.1	USA300HOU_RS00420	91701	91802	-	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00420
cds-WP_000355845.1	USA300HOU_RS00425	91900	92655	-	sulfite exporter TauE/SafE family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00425
cds-WP_001105087.1	USA300HOU_RS00430	92655	92915	-	persulfide-sensing transcriptional repressor CstR	None	TCH1516	NC_010079.1	cstR
cds-WP_000816129.1	USA300HOU_RS00435	93052	94119	+	persulfide response sulfurtransferase CstA	None	TCH1516	NC_010079.1	cstA
cds-WP_000465472.1	USA300HOU_RS00440	94150	95484	+	persulfide dioxygenase-sulfurtransferase CstB	None	TCH1516	NC_010079.1	cstB
gene-USA300HOU_RS15940	USA300HOU_RS15940	95503	96696	+	None	None	TCH1516	NC_010079.1	sqr
cds-USA300HOU_RS15940	USA300HOU_RS15940	95503	96696	+	type II sulfide:quinone oxidoreductase Sqr	None	TCH1516	NC_010079.1	sqr
cds-WP_001790237.1	USA300HOU_RS00450	96963	97064	-	universal stress protein	None	TCH1516	NC_010079.1	USA300HOU_RS00450
cds-WP_000662031.1	USA300HOU_RS00455	97363	98349	-	tRNA-dihydrouridine synthase	None	TCH1516	NC_010079.1	USA300HOU_RS00455
cds-WP_000398679.1	USA300HOU_RS00460	98658	98861	+	DUF6007 family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00460
cds-WP_000201638.1	USA300HOU_RS00465	98910	99206	+	TfoX/Sxy family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00465
cds-WP_000130765.1	USA300HOU_RS00470	99278	100498	-	MFS transporter	None	TCH1516	NC_010079.1	USA300HOU_RS00470
gene-USA300HOU_RS00475	USA300HOU_RS00475	100491	101041	-	None	None	TCH1516	NC_010079.1	USA300HOU_RS00475
cds-USA300HOU_RS00475	USA300HOU_RS00475	100491	101041	-	flavodoxin family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00475
cds-WP_001052510.1	USA300HOU_RS00480	101154	102014	+	LysR family transcriptional regulator	None	TCH1516	NC_010079.1	USA300HOU_RS00480
cds-WP_000543163.1	USA300HOU_RS00485	102369	102902	-	DUF4865 family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00485
cds-WP_001793250.1	USA300HOU_RS00490	102993	103736	+	LysR family transcriptional regulator	regulation of DNA-templated transcription|0006355||IEA	TCH1516	NC_010079.1	USA300HOU_RS00490
cds-WP_000908952.1	USA300HOU_RS00495	104170	104772	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00495
cds-WP_000080557.1	USA300HOU_RS00500	105039	108191	+	DEAD/DEAH box helicase	None	TCH1516	NC_010079.1	USA300HOU_RS00500
cds-WP_000410568.1	USA300HOU_RS00505	108248	108730	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00505
cds-WP_000710576.1	USA300HOU_RS00510	108935	109921	+	phosphatidylinositol-specific phospholipase C	None	TCH1516	NC_010079.1	USA300HOU_RS00510
cds-WP_000977774.1	USA300HOU_RS00515	110142	110912	+	tandem-type lipoprotein	None	TCH1516	NC_010079.1	USA300HOU_RS00515
cds-WP_000597212.1	USA300HOU_RS00520	110964	111734	+	tandem-type lipoprotein	None	TCH1516	NC_010079.1	USA300HOU_RS00520
cds-WP_000977781.1	USA300HOU_RS00525	111798	112568	+	tandem-type lipoprotein	None	TCH1516	NC_010079.1	USA300HOU_RS00525
cds-WP_000826311.1	USA300HOU_RS00530	112635	113402	+	tandem-type lipoprotein	None	TCH1516	NC_010079.1	USA300HOU_RS00530
cds-WP_001188495.1	USA300HOU_RS00535	113496	115733	+	helix-turn-helix domain-containing protein	regulation of DNA-templated transcription|0006355||IEA	TCH1516	NC_010079.1	USA300HOU_RS00535
cds-WP_001075826.1	USA300HOU_RS00540	115884	117062	+	M20 family metallopeptidase	None	TCH1516	NC_010079.1	USA300HOU_RS00540
cds-WP_001006445.1	USA300HOU_RS00545	117064	118452	+	multidrug efflux MFS transporter NorC	None	TCH1516	NC_010079.1	norC
cds-WP_001791835.1	USA300HOU_RS00550	118945	120606	-	Na/Pi cotransporter family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00550
cds-WP_000291842.1	USA300HOU_RS00555	120932	122707	-	oleate hydratase	fatty acid metabolic process|0006631||IEA	TCH1516	NC_010079.1	USA300HOU_RS00555
cds-WP_001038026.1	USA300HOU_RS00560	122881	123753	-	DMT family transporter	None	TCH1516	NC_010079.1	USA300HOU_RS00560
cds-WP_001151814.1	USA300HOU_RS00565	123866	125263	+	PLP-dependent aminotransferase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00565
cds-WP_000036327.1	USA300HOU_RS00570	125453	125926	+	DUF1648 domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS00570
cds-WP_000173902.1	USA300HOU_RS00575	126188	127780	+	L-lactate permease	None	TCH1516	NC_010079.1	USA300HOU_RS00575
cds-WP_000728761.1	USA300HOU_RS00580	128109	129587	-	staphylococcal protein A	None	TCH1516	NC_010079.1	spa
cds-WP_000876756.1	USA300HOU_RS00585	130008	130760	-	HTH-type transcriptional regulator SarS	None	TCH1516	NC_010079.1	sarS
cds-WP_000136636.1	USA300HOU_RS00590	131129	132127	-	staphyloferrin B ABC transporter permease subunit SirC	None	TCH1516	NC_010079.1	sirC
cds-WP_000924997.1	USA300HOU_RS00595	132124	133119	-	staphyloferrin B ABC transporter permease subunit SirB	None	TCH1516	NC_010079.1	sirB
cds-WP_001045111.1	USA300HOU_RS00600	133135	134127	-	staphyloferrin B ABC transporter substrate-binding protein SirA	None	TCH1516	NC_010079.1	sirA
cds-WP_000570808.1	USA300HOU_RS00605	134358	135338	+	2%2C3-diaminopropionate biosynthesis protein SbnA	None	TCH1516	NC_010079.1	sbnA
cds-WP_001078456.1	USA300HOU_RS00610	135335	136345	+	N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase SbnB	None	TCH1516	NC_010079.1	sbnB
cds-WP_001179384.1	USA300HOU_RS00615	136366	138120	+	staphyloferrin B biosynthesis protein SbnC	None	TCH1516	NC_010079.1	sbnC
cds-WP_000610051.1	USA300HOU_RS00620	138113	139369	+	staphyloferrin B export MFS transporter	None	TCH1516	NC_010079.1	sbnD
cds-WP_001179888.1	USA300HOU_RS00625	139359	141095	+	L-2%2C3-diaminopropanoate--citrate ligase SbnE	None	TCH1516	NC_010079.1	sbnE
cds-WP_001795559.1	USA300HOU_RS00630	141004	142854	+	3-(L-alanin-3-ylcarbamoyl)-2-[(2-aminoethylcarbamoyl)methyl]-2-hydroxypropanoate synthase SbnF	None	TCH1516	NC_010079.1	sbnF
cds-WP_001186806.1	USA300HOU_RS00635	142829	143605	+	staphyloferrin B biosynthesis citrate synthase SbnG	None	TCH1516	NC_010079.1	sbnG
cds-WP_001223700.1	USA300HOU_RS00640	143605	144807	+	staphyloferrin B biosynthesis decarboxylase SbnH	None	TCH1516	NC_010079.1	sbnH
cds-WP_001015549.1	USA300HOU_RS00645	144811	145575	+	bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI	None	TCH1516	NC_010079.1	sbnI
cds-WP_000094899.1	USA300HOU_RS00655	145771	146178	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00655
cds-WP_000414628.1	USA300HOU_RS00660	146228	146854	+	MFS transporter	None	TCH1516	NC_010079.1	USA300HOU_RS00660
cds-WP_000183771.1	USA300HOU_RS00665	147066	147842	+	(S)-acetoin forming diacetyl reductase	acetoin catabolic process|0045150||IEA	TCH1516	NC_010079.1	USA300HOU_RS00665
cds-WP_001789407.1	USA300HOU_RS00670	147986	148108	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00670
cds-WP_001789408.1	USA300HOU_RS00675	148178	149158	+	NAD-dependent epimerase/dehydratase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00675
cds-WP_000736084.1	USA300HOU_RS00680	149121	149813	+	sugar transferase	None	TCH1516	NC_010079.1	USA300HOU_RS00680
cds-WP_000692515.1	USA300HOU_RS00685	150023	151189	+	glycosyltransferase family 4 protein	None	TCH1516	NC_010079.1	USA300HOU_RS00685
cds-WP_000431234.1	USA300HOU_RS00690	151170	152408	+	O-antigen ligase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00690
cds-WP_000834084.1	USA300HOU_RS00695	152398	153828	+	lipopolysaccharide biosynthesis protein	None	TCH1516	NC_010079.1	USA300HOU_RS00695
cds-WP_000874681.1	USA300HOU_RS00700	154096	154695	+	superoxide dismutase	None	TCH1516	NC_010079.1	USA300HOU_RS00700
gene-USA300HOU_RS00705	USA300HOU_RS00705	155063	155664	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS00705
cds-USA300HOU_RS00705	USA300HOU_RS00705	155063	155664	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00705
cds-WP_223181133.1	USA300HOU_RS15970	155651	155788	+	LPXTG cell wall anchor domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS15970
cds-WP_001789411.1	USA300HOU_RS00710	155980	156735	-	GntR family transcriptional regulator	None	TCH1516	NC_010079.1	USA300HOU_RS00710
cds-WP_000843292.1	USA300HOU_RS00720	156971	157678	+	purine-nucleoside phosphorylase	purine nucleobase salvage|0043096||IEA	TCH1516	NC_010079.1	deoD
cds-WP_001100300.1	USA300HOU_RS00725	157685	159037	+	tetracycline efflux MFS transporter Tet(38)	None	TCH1516	NC_010079.1	tet(38)
cds-WP_000667275.1	USA300HOU_RS00730	159118	159780	+	deoxyribose-phosphate aldolase	deoxyribonucleotide catabolic process|0009264||IEA	TCH1516	NC_010079.1	deoC
cds-WP_000197806.1	USA300HOU_RS00735	159808	160986	+	phosphopentomutase	nucleobase-containing compound metabolic process|0006139||IEA	TCH1516	NC_010079.1	deoB
cds-WP_000191092.1	USA300HOU_RS00740	161117	161932	-	phosphonate ABC transporter%2C permease protein PhnE	organic phosphonate transport|0015716||IEA	TCH1516	NC_010079.1	phnE
cds-WP_001127689.1	USA300HOU_RS00745	161929	162729	-	phosphonate ABC transporter%2C permease protein PhnE	organic phosphonate transport|0015716||IEA	TCH1516	NC_010079.1	phnE
cds-WP_000078092.1	USA300HOU_RS00750	162731	163504	-	phosphonate ABC transporter ATP-binding protein	organic phosphonate transport|0015716||IEA	TCH1516	NC_010079.1	phnC
cds-WP_000787672.1	USA300HOU_RS00755	163718	164674	-	phosphate/phosphite/phosphonate ABC transporter substrate-binding protein	None	TCH1516	NC_010079.1	USA300HOU_RS00755
cds-WP_000725596.1	USA300HOU_RS00760	164903	166447	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00760
cds-WP_000065035.1	USA300HOU_RS00765	166498	168033	+	bifunctional UDP-sugar hydrolase/5'-nucleotidase	None	TCH1516	NC_010079.1	USA300HOU_RS00765
gene-USA300HOU_RS00770	USA300HOU_RS00770	168108	168320	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS00770
cds-USA300HOU_RS00770	USA300HOU_RS00770	168108	168320	+	zinc peptidase	None	TCH1516	NC_010079.1	USA300HOU_RS00770
gene-USA300HOU_RS15690	USA300HOU_RS15690	168560	169453	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS15690
cds-USA300HOU_RS15690	USA300HOU_RS15690	168560	169453	+	replication initiation protein	None	TCH1516	NC_010079.1	USA300HOU_RS15690
cds-WP_000469916.1	USA300HOU_RS00785	169537	169863	+	hypothetical protein	None	TCH1516	NC_010079.1	USA300HOU_RS00785
gene-USA300HOU_RS15700	USA300HOU_RS15700	170221	170651	+	None	None	TCH1516	NC_010079.1	tnpA
cds-USA300HOU_RS15700	USA300HOU_RS15700	170221	170651	+	IS200/IS605 family transposase	None	TCH1516	NC_010079.1	tnpA
cds-WP_000955777.1	USA300HOU_RS00795	171101	173710	+	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	alcohol metabolic process|0006066||IEA,carbon utilization|0015976||IEA	TCH1516	NC_010079.1	adhE
cds-WP_000446299.1	USA300HOU_RS00800	174055	174723	+	capsular polysaccharide type 5/8 biosynthesis protein CapA	None	TCH1516	NC_010079.1	capA
cds-WP_000037332.1	USA300HOU_RS00805	174739	175425	+	type 8 capsular polysaccharide synthesis protein Cap8B	None	TCH1516	NC_010079.1	cap8B
cds-WP_000565302.1	USA300HOU_RS00810	175428	176192	+	type 8 capsular polysaccharide synthesis protein Cap8C	None	TCH1516	NC_010079.1	cap8C
gene-USA300HOU_RS00815	USA300HOU_RS00815	176212	178036	+	None	None	TCH1516	NC_010079.1	cap8D
cds-USA300HOU_RS00815	USA300HOU_RS00815	176212	178036	+	type 8 capsular polysaccharide synthesis protein Cap8D	None	TCH1516	NC_010079.1	cap8D
